season,week,home,away
2024,1,ATL,PIT
2024,1,BUF,ARI
2024,1,CHI,TEN
2024,1,CIN,NE
2024,1,CLE,DAL
2024,1,DET,LA
2024,1,IND,HOU
2024,1,KC,BAL
2024,1,LAC,LV
2024,1,MIA,JAX
2024,1,NO,CAR
2024,1,NYG,MIN
2024,1,PHI,GB
2024,1,SEA,DEN
2024,1,SF,NYJ
2024,1,TB,WAS
2024,2,ARI,LA
2024,2,BAL,LV
2024,2,CAR,LAC
2024,2,DAL,NO
2024,2,DEN,PIT
2024,2,DET,TB
2024,2,GB,IND
2024,2,HOU,CHI
2024,2,JAX,CLE
2024,2,KC,CIN
2024,2,MIA,BUF
2024,2,MIN,SF
2024,2,NE,SEA
2024,2,PHI,ATL
2024,2,TEN,NYJ
2024,2,WAS,NYG
2024,3,ARI,DET
2024,3,ATL,KC
2024,3,BUF,JAX
2024,3,CIN,WAS
2024,3,CLE,NYG
2024,3,DAL,BAL
2024,3,IND,CHI
2024,3,LA,SF
2024,3,LV,CAR
2024,3,MIN,HOU
2024,3,NO,PHI
2024,3,NYJ,NE
2024,3,PIT,LAC
2024,3,SEA,MIA
2024,3,TB,DEN
2024,3,TEN,GB
2024,4,ARI,WAS
2024,4,ATL,NO
2024,4,BAL,BUF
2024,4,CAR,CIN
2024,4,CHI,LA
2024,4,DET,SEA
2024,4,GB,MIN
2024,4,HOU,JAX
2024,4,IND,PIT
2024,4,LAC,KC
2024,4,LV,CLE
2024,4,MIA,TEN
2024,4,NYG,DAL
2024,4,NYJ,DEN
2024,4,SF,NE
2024,4,TB,PHI
2024,5,ATL,TB
2024,5,CHI,CAR
2024,5,CIN,BAL
2024,5,DEN,LV
2024,5,HOU,BUF
2024,5,JAX,IND
2024,5,KC,NO
2024,5,LA,GB
2024,5,MIN,NYJ
2024,5,NE,MIA
2024,5,PIT,DAL
2024,5,SEA,NYG
2024,5,SF,ARI
2024,5,WAS,CLE
2024,6,BAL,WAS
2024,6,CAR,ATL
2024,6,CHI,JAX
2024,6,DAL,DET
2024,6,DEN,LAC
2024,6,GB,ARI
2024,6,LV,PIT
2024,6,NE,HOU
2024,6,NO,TB
2024,6,NYG,CIN
2024,6,NYJ,BUF
2024,6,PHI,CLE
2024,6,SEA,SF
2024,6,TEN,IND
2024,7,ARI,LAC
2024,7,ATL,SEA
2024,7,BUF,TEN
2024,7,CLE,CIN
2024,7,GB,HOU
2024,7,IND,MIA
2024,7,JAX,NE
2024,7,LA,LV
2024,7,MIN,DET
2024,7,NO,DEN
2024,7,NYG,PHI
2024,7,PIT,NYJ
2024,7,SF,KC
2024,7,TB,BAL
2024,7,WAS,CAR
2024,8,CIN,PHI
2024,8,CLE,BAL
2024,8,DEN,CAR
2024,8,DET,TEN
2024,8,HOU,IND
2024,8,JAX,GB
2024,8,LA,MIN
2024,8,LAC,NO
2024,8,LV,KC
2024,8,MIA,ARI
2024,8,NE,NYJ
2024,8,PIT,NYG
2024,8,SEA,BUF
2024,8,SF,DAL
2024,8,TB,ATL
2024,8,WAS,CHI
2024,9,ARI,CHI
2024,9,ATL,DAL
2024,9,BAL,DEN
2024,9,BUF,MIA
2024,9,CAR,NO
2024,9,CIN,LV
2024,9,CLE,LAC
2024,9,GB,DET
2024,9,KC,TB
2024,9,MIN,IND
2024,9,NYG,WAS
2024,9,NYJ,HOU
2024,9,PHI,JAX
2024,9,SEA,LA
2024,9,TEN,NE
2024,10,ARI,NYJ
2024,10,BAL,CIN
2024,10,CAR,NYG
2024,10,CHI,NE
2024,10,DAL,PHI
2024,10,HOU,DET
2024,10,IND,BUF
2024,10,JAX,MIN
2024,10,KC,DEN
2024,10,LA,MIA
2024,10,LAC,TEN
2024,10,NO,ATL
2024,10,TB,SF
2024,10,WAS,PIT
2024,11,BUF,KC
2024,11,CHI,GB
2024,11,DAL,HOU
2024,11,DEN,ATL
2024,11,DET,JAX
2024,11,LAC,CIN
2024,11,MIA,LV
2024,11,NE,LA
2024,11,NO,CLE
2024,11,NYJ,IND
2024,11,PHI,WAS
2024,11,PIT,BAL
2024,11,SF,SEA
2024,11,TEN,MIN
2024,12,CAR,KC
2024,12,CHI,MIN
2024,12,CLE,PIT
2024,12,GB,SF
2024,12,HOU,TEN
2024,12,IND,DET
2024,12,LA,PHI
2024,12,LAC,BAL
2024,12,LV,DEN
2024,12,MIA,NE
2024,12,NYG,TB
2024,12,SEA,ARI
2024,12,WAS,DAL
2024,13,ATL,LAC
2024,13,BAL,PHI
2024,13,BUF,SF
2024,13,CAR,TB
2024,13,CIN,PIT
2024,13,DAL,NYG
2024,13,DEN,CLE
2024,13,DET,CHI
2024,13,GB,MIA
2024,13,JAX,HOU
2024,13,KC,LV
2024,13,MIN,ARI
2024,13,NE,IND
2024,13,NO,LA
2024,13,NYJ,SEA
2024,13,WAS,TEN
2024,14,ARI,SEA
2024,14,DAL,CIN
2024,14,DET,GB
2024,14,KC,LAC
2024,14,LA,BUF
2024,14,MIA,NYJ
2024,14,MIN,ATL
2024,14,NYG,NO
2024,14,PHI,CAR
2024,14,PIT,CLE
2024,14,SF,CHI
2024,14,TB,LV
2024,14,TEN,JAX
2024,15,ARI,NE
2024,15,CAR,DAL
2024,15,CLE,KC
2024,15,DEN,IND
2024,15,DET,BUF
2024,15,HOU,MIA
2024,15,JAX,NYJ
2024,15,LAC,TB
2024,15,LV,ATL
2024,15,MIN,CHI
2024,15,NO,WAS
2024,15,NYG,BAL
2024,15,PHI,PIT
2024,15,SEA,GB
2024,15,SF,LA
2024,15,TEN,CIN
2024,16,ATL,NYG
2024,16,BAL,PIT
2024,16,BUF,NE
2024,16,CAR,ARI
2024,16,CHI,DET
2024,16,CIN,CLE
2024,16,DAL,TB
2024,16,GB,NO
2024,16,IND,TEN
2024,16,KC,HOU
2024,16,LAC,DEN
2024,16,LV,JAX
2024,16,MIA,SF
2024,16,NYJ,LA
2024,16,SEA,MIN
2024,16,WAS,PHI
2024,17,BUF,NYJ
2024,17,CHI,SEA
2024,17,CIN,DEN
2024,17,CLE,MIA
2024,17,HOU,BAL
2024,17,JAX,TEN
2024,17,LA,ARI
2024,17,MIN,GB
2024,17,NE,LAC
2024,17,NO,LV
2024,17,NYG,IND
2024,17,PHI,DAL
2024,17,PIT,KC
2024,17,SF,DET
2024,17,TB,CAR
2024,17,WAS,ATL
